game_id,game_date,season,home_team,away_team,home_win,home_win_rate_l10,away_win_rate_l10,diff_win_rate_l10,home_avg_points_l10,away_avg_points_l10,diff_avg_points_l10,home_avg_rebounds_l10,away_avg_rebounds_l10,diff_avg_rebounds_l10,home_avg_assists_l10,away_avg_assists_l10,diff_avg_assists_l10,home_avg_fg_pct_l10,away_avg_fg_pct_l10,diff_avg_fg_pct_l10,home_avg_fg3_pct_l10,away_avg_fg3_pct_l10,diff_avg_fg3_pct_l10
0022501183,2026-04-10,22025,Portland Trail Blazers,LA Clippers,1,0.6,0.7,-0.09999999999999998,116.5,119.4,-2.9000000000000057,46.7,40.5,6.200000000000003,25.8,25.3,0.5,0.4668,0.5044000000000001,-0.03760000000000008,0.363,0.4041,-0.041100000000000025
0022501184,2026-04-10,22025,Sacramento Kings,Golden State Warriors,1,0.3,0.4,-0.10000000000000003,111.7,113.3,-1.5999999999999943,42.4,39.8,2.6000000000000014,26.1,28.3,-2.1999999999999993,0.4806,0.48550000000000004,-0.0049000000000000155,0.363,0.35869999999999996,0.004300000000000026
0022501185,2026-04-10,22025,Los Angeles Lakers,Phoenix Suns,1,0.6,0.5,0.09999999999999998,114.5,116.8,-2.299999999999997,41.2,42.2,-1.0,26.8,24.6,2.1999999999999993,0.513,0.4664,0.04660000000000003,0.34950000000000003,0.3642,-0.01469999999999999
0022501186,2026-04-12,22025,Boston Celtics,Orlando Magic,1,0.8,0.7,0.10000000000000009,120.2,118.7,1.5,45.3,42.4,2.8999999999999986,26.4,27.8,-1.4000000000000021,0.5023,0.48020000000000007,0.022099999999999898,0.41200000000000003,0.3548,0.05720000000000003
0022501187,2026-04-12,22025,Cleveland Cavaliers,Washington Wizards,1,0.7,0.1,0.6,122.4,115.3,7.1000000000000085,43.0,40.8,2.200000000000003,28.4,24.9,3.5,0.5071,0.47640000000000005,0.03069999999999995,0.34900000000000003,0.3451,0.0039000000000000146
0022501188,2026-04-12,22025,Indiana Pacers,Detroit Pistons,0,0.4,0.7,-0.29999999999999993,118.8,119.5,-0.7000000000000028,43.7,44.3,-0.5999999999999943,33.5,31.9,1.6000000000000014,0.49660000000000004,0.5166999999999999,-0.020099999999999896,0.38770000000000004,0.40919999999999995,-0.021499999999999908
0022501189,2026-04-12,22025,Miami Heat,Atlanta Hawks,1,0.4,0.7,-0.29999999999999993,122.6,122.9,-0.30000000000001137,42.6,44.3,-1.6999999999999957,30.5,28.9,1.6000000000000014,0.4852,0.48149999999999993,0.003700000000000092,0.3821,0.3967,-0.014600000000000002
0022501190,2026-04-12,22025,New York Knicks,Charlotte Hornets,0,0.7,0.6,0.09999999999999998,116.1,115.8,0.29999999999999716,41.2,45.9,-4.699999999999996,27.6,25.4,2.200000000000003,0.5142,0.4619,0.05230000000000001,0.38380000000000003,0.36419999999999997,0.019600000000000062
0022501191,2026-04-12,22025,Philadelphia 76ers,Milwaukee Bucks,1,0.5,0.3,0.2,115.7,110.1,5.6000000000000085,45.2,39.6,5.600000000000001,24.4,25.7,-1.3000000000000007,0.469,0.4709,-0.0019000000000000128,0.3572,0.39849999999999997,-0.04129999999999995
0022501192,2026-04-12,22025,Toronto Raptors,Brooklyn Nets,1,0.5,0.3,0.2,115.6,103.2,12.399999999999991,41.3,34.8,6.5,31.5,23.3,8.2,0.5035000000000001,0.44489999999999996,0.058600000000000096,0.3923,0.32720000000000005,0.06509999999999994
0022501193,2026-04-12,22025,Dallas Mavericks,Chicago Bulls,1,0.2,0.2,0.0,115.0,117.1,-2.0999999999999943,41.9,45.6,-3.700000000000003,25.4,26.5,-1.1000000000000014,0.4438,0.4626,-0.01880000000000004,0.3287,0.30280000000000007,0.025899999999999923
0022501194,2026-04-12,22025,Houston Rockets,Memphis Grizzlies,1,0.8,0.1,0.7000000000000001,121.2,111.3,9.900000000000006,48.1,35.4,12.700000000000003,29.0,26.0,3.0,0.4973000000000001,0.4447,0.05260000000000009,0.3781,0.35140000000000005,0.026699999999999946
0022501195,2026-04-12,22025,Minnesota Timberwolves,New Orleans Pelicans,1,0.5,0.1,0.4,112.2,113.9,-1.7000000000000028,41.3,41.4,-0.10000000000000142,24.5,25.0,-0.5,0.4561,0.4633999999999999,-0.007299999999999918,0.37039999999999995,0.348,0.022399999999999975
0022501196,2026-04-12,22025,Oklahoma City Thunder,Phoenix Suns,0,0.8,0.5,0.30000000000000004,123.1,113.6,9.5,45.4,43.1,2.299999999999997,27.3,23.6,3.6999999999999993,0.5043,0.4553,0.04899999999999999,0.3922,0.3432,0.04899999999999999
0022501197,2026-04-12,22025,San Antonio Spurs,Denver Nuggets,0,0.9,1.0,-0.09999999999999998,126.0,131.2,-5.199999999999989,50.3,47.0,3.299999999999997,31.7,33.3,-1.5999999999999979,0.5051,0.5169,-0.011800000000000033,0.36769999999999997,0.4184,-0.05070000000000002
0022501198,2026-04-12,22025,Los Angeles Lakers,Utah Jazz,1,0.6,0.1,0.5,114.1,120.6,-6.5,40.4,44.1,-3.700000000000003,27.6,31.9,-4.299999999999997,0.5189,0.4856,0.03330000000000005,0.3645,0.3437,0.020799999999999985
0022501199,2026-04-12,22025,LA Clippers,Golden State Warriors,1,0.6,0.4,0.19999999999999996,115.3,114.1,1.2000000000000028,40.0,40.5,-0.5,23.7,29.0,-5.300000000000001,0.4911,0.48360000000000003,0.007499999999999951,0.3866,0.3619,0.0247
0022501200,2026-04-12,22025,Portland Trail Blazers,Sacramento Kings,1,0.6,0.4,0.19999999999999996,117.3,112.3,5.0,46.2,43.2,3.0,25.6,26.0,-0.3999999999999986,0.46900000000000003,0.4784,-0.009399999999999964,0.36950000000000005,0.3641,0.005400000000000071
